receptor_model,ligand,score_kcal_mol,n_contacted_residues,literature_pocket_contacts,domain_matched
model_02,ligand_3805_out,-13.732,8,Phe149;Lys181,RRM1
model_01,ligand_3805_out,-12.809,7,Phe149;Lys181,RRM1
model_02,ligand_4054_out,-12.791,8,Phe149;Lys181,RRM1
model_02,ligand_7654_out,-12.788,9,Phe149;Lys181,RRM1
model_02,ligand_7239_out,-12.701,7,Phe149;Lys181,RRM1
model_02,ligand_3862_out,-12.698,10,Phe149;Lys181,RRM1
model_02,ligand_3740_out,-12.586,8,Phe149;Lys181,RRM1
model_02,ligand_4578_out,-12.433,11,Phe149;Lys181,RRM1
model_02,ligand_453_out,-12.405,8,Phe149;Lys181,RRM1
model_02,ligand_9293_out,-12.396,8,Phe149;Lys181,RRM1
model_02,ligand_1803_out,-12.299,7,Phe149;Lys181,RRM1
model_02,ligand_7261_out,-12.277,9,Phe149;Lys181,RRM1
model_02,ligand_3996_out,-12.258,9,Phe149;Lys181,RRM1
model_01,ligand_7654_out,-12.241,10,Phe149;Lys181,RRM1
model_02,ligand_2416_out,-12.236,9,Phe149;Lys181,RRM1
model_02,ligand_6100_out,-12.178,10,Phe149;Lys181,RRM1
model_02,ligand_3991_out,-12.155,9,Phe149;Lys181,RRM1
model_02,ligand_9467_out,-12.123,11,Phe149;Lys181,RRM1
model_01,ligand_3862_out,-12.105,9,Phe149;Lys181,RRM1
model_02,ligand_1850_out,-12.099,9,Phe149;Lys181,RRM1
model_02,ligand_7247_out,-12.096,8,Phe149;Lys181,RRM1
model_02,ligand_3256_out,-12.066,10,Phe149;Lys181,RRM1
model_02,ligand_1209_out,-12.028,9,Phe149;Lys181,RRM1
model_02,ligand_7541_out,-12.015,11,Phe149;Lys181,RRM1
model_02,ligand_1498_out,-11.953,11,Phe149;Lys181,RRM1
model_02,ligand_9261_out,-11.945,11,Phe149;Lys181,RRM1
model_19,ligand_3805_out,-11.945,8,Phe149;Lys181,RRM1
model_02,ligand_3743_out,-11.922,8,Phe149;Lys181,RRM1
model_02,ligand_9203_out,-11.895,11,Phe149;Lys181,RRM1
model_19,ligand_3740_out,-11.895,8,Phe149;Lys181,RRM1
model_02,ligand_1052_out,-11.876,8,Phe149;Lys181,RRM1
model_02,ligand_8571_out,-11.871,8,Phe149;Lys181,RRM1
model_02,ligand_8163_out,-11.864,8,Phe149;Lys181,RRM1
