receptor_model,ligand,score_kcal_mol,interactions,n_interactions
model_02,ligand_9535_out,-12.151,ASP105.A:Hydrophobic;ILE107.A:Hydrophobic;LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,8
model_02,ligand_7571_out,-12.118,ASP105.A:Hydrophobic;GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:PiStacking;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic,10
model_02,ligand_5512_out,-12.114,ILE107.A:Hydrophobic;GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ARG197.A:HBAcceptor;ARG197.A:Hydrophobic,7
model_02,ligand_5739_out,-12.048,ASP105.A:Hydrophobic;ILE107.A:Hydrophobic;LYS136.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,7
model_02,ligand_9505_out,-12.031,ASP105.A:Hydrophobic;GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic,8
model_02,ligand_9466_out,-12.027,ASP105.A:HBDonor;ASP105.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic;SER254.A:HBAcceptor,8
model_02,ligand_9502_out,-11.97,GLN134.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ASN179.A:Hydrophobic;ARG197.A:Hydrophobic;SER254.A:HBAcceptor,7
model_02,ligand_2090_out,-11.94,ASP105.A:Hydrophobic;GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,7
model_19,ligand_9502_out,-11.909,ASP105.A:Hydrophobic;GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic,8
model_02,ligand_5737_out,-11.801,GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:PiStacking;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,7
model_02,ligand_9503_out,-11.797,ASP105.A:Hydrophobic;GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic,7
model_02,ligand_9500_out,-11.742,LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ASN179.A:Hydrophobic,6
model_02,ligand_11245_out,-11.689,ASP105.A:Hydrophobic;GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic,8
model_02,ligand_6557_out,-11.68,ASP105.A:Hydrophobic;GLN134.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic,6
model_01,ligand_5737_out,-11.662,ASP105.A:Hydrophobic;LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:PiStacking;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,7
model_01,ligand_6726_out,-11.662,ASP105.A:HBDonor;ILE107.A:Hydrophobic;PHE147.A:PiStacking;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,6
model_02,ligand_9014_out,-11.595,ASP105.A:Hydrophobic;LYS136.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ARG197.A:HBAcceptor;ARG197.A:Hydrophobic;ARG197.A:PiCation,7
model_02,ligand_9499_out,-11.563,ASP105.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ARG197.A:HBAcceptor,5
model_02,ligand_3320_out,-11.559,ASP105.A:Hydrophobic;LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:PiStacking;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ASN179.A:HBAcceptor;ARG197.A:Hydrophobic;ARG197.A:PiCation,10
model_02,ligand_3862_out,-11.549,ASP105.A:HBDonor;ASP105.A:Hydrophobic;GLN134.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic;SER254.A:HBAcceptor,9
model_02,ligand_5736_out,-11.53,ASP105.A:Hydrophobic;LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,7
model_02,ligand_1486_out,-11.521,ASP105.A:Hydrophobic;GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,7
model_02,ligand_1872_out,-11.471,GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,6
model_01,ligand_7571_out,-11.467,GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:PiStacking;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic,8
model_02,ligand_6099_out,-11.463,GLN134.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,6
model_02,ligand_5724_out,-11.454,LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ARG197.A:HBAcceptor;ARG197.A:Hydrophobic,6
model_01,ligand_5738_out,-11.44,ILE107.A:Hydrophobic;GLN134.A:Hydrophobic;PHE147.A:PiStacking;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ASN179.A:Hydrophobic;ARG197.A:HBAcceptor;ARG197.A:Hydrophobic;ARG197.A:PiCation,9
model_02,ligand_9501_out,-11.418,LYS145.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,4
model_19,ligand_5738_out,-11.383,ASP105.A:Hydrophobic;GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic,7
model_19,ligand_5515_out,-11.371,ASP105.A:Hydrophobic;LYS136.A:Hydrophobic;PHE147.A:PiStacking;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic,7
model_02,ligand_8909_out,-11.343,GLN134.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ARG197.A:HBAcceptor;ARG197.A:Hydrophobic,6
model_02,ligand_3230_out,-11.342,ASP105.A:Hydrophobic;GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic,9
model_02,ligand_5009_out,-11.338,ILE107.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,5
model_19,ligand_3230_out,-11.333,LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:PiStacking;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,7
model_19,ligand_5512_out,-11.326,ILE107.A:Hydrophobic;GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ARG197.A:HBAcceptor;ARG197.A:Hydrophobic;ARG197.A:PiCation,8
model_02,ligand_11109_out,-11.32,PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,4
model_02,ligand_4240_out,-11.315,LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:PiStacking;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic,7
model_01,ligand_9014_out,-11.309,ILE107.A:Hydrophobic;LYS136.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ARG197.A:HBAcceptor;ARG197.A:Hydrophobic;ARG197.A:PiCation,7
model_02,ligand_1538_out,-11.306,GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,7
model_02,ligand_7685_out,-11.306,GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic,6
model_02,ligand_4340_out,-11.275,ASP105.A:Hydrophobic;ILE107.A:Hydrophobic;GLN134.A:Hydrophobic;LYS136.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,8
model_02,ligand_9564_out,-11.247,ASP105.A:Hydrophobic;GLN134.A:Hydrophobic;LYS145.A:HBAcceptor;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,7
model_02,ligand_1724_out,-11.238,LYS145.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic,6
model_02,ligand_4788_out,-11.212,ASP105.A:Hydrophobic;GLN134.A:Hydrophobic;PHE147.A:PiStacking;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ILE253.A:Hydrophobic,7
model_02,ligand_1065_out,-11.208,ASP105.A:Hydrophobic;ILE107.A:Hydrophobic;GLN134.A:Hydrophobic;PHE147.A:PiStacking;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,8
model_01,ligand_5736_out,-11.205,LYS136.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ASN179.A:Hydrophobic;ARG197.A:HBAcceptor;ARG197.A:Hydrophobic;ARG197.A:PiCation,7
model_05,ligand_1486_out,-11.201,ILE107.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;SER180.A:HBAcceptor;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic;HIS256.A:Hydrophobic,7
model_02,ligand_5747_out,-11.175,ASP105.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:PiStacking;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic;ARG197.A:PiCation,9
model_02,ligand_56_out,-11.158,LYS136.A:Hydrophobic;LYS145.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:Hydrophobic;ARG197.A:Hydrophobic,5
model_01,ligand_6579_out,-11.155,ASP105.A:Hydrophobic;PHE147.A:Hydrophobic;PHE149.A:PiStacking;PHE149.A:Hydrophobic;LYS181.A:Hydrophobic;ARG197.A:Hydrophobic,6
